"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AENJPLPP_02081",1362.64411598314,-1.00341498320275,0.0850743247070708,-11.7945688861795,4.16327165579201e-32,1.18624726630786e-31
"AENJPLPP_02082",775.404118146236,-1.08449995097467,0.0923791215257504,-11.7396651219764,7.98018047781118e-32,2.26053361394807e-31
"AENJPLPP_02087",1022.96940841259,-1.71615121250104,0.0813928342451754,-21.0847948522295,1.09688216751638e-98,6.55876975730535e-98
"AENJPLPP_02088",128.068175889479,-1.51122423269357,0.178878731328809,-8.44831703281527,2.95531955661589e-17,6.54440345921329e-17
"AENJPLPP_02089",1792.80802538648,-1.28280720627064,0.0704327742587114,-18.213214228346,4.05430664975096e-74,1.97427106422656e-73
"AENJPLPP_02091",123.70348732351,-1.88276132708781,0.185873095325771,-10.1292837663675,4.09638914013441e-24,1.03189318132106e-23
"AENJPLPP_02092",2601.1506310041,-3.10921060967436,0.0798386827767692,-38.943661161943,0,0
"AENJPLPP_02094",37265.5158861613,-2.44938736076533,0.0602056173707228,-40.6837014174766,0,0
"AENJPLPP_02095",13075.8480440481,-2.17795308623869,0.0625196744921862,-34.8362832009129,6.86920216009812e-266,1.03108848918586e-264
"AENJPLPP_02096",39429.3853071713,-1.76855131773484,0.0664713991874735,-26.6061996490683,5.75461026417725e-156,4.81535203715062e-155
"AENJPLPP_02098",8193.31770781613,1.25106538990076,0.0618766393243505,20.2187029476958,6.70221571791664e-91,3.73886056907534e-90
"AENJPLPP_02099",23348.0365735584,1.58723033104906,0.0600827017159024,26.4174260763804,8.64223330475394e-154,7.16985281579586e-153
"AENJPLPP_02115",638.088857420641,1.50396662935229,0.0974442432936118,15.4341249777132,9.65002998654426e-54,3.77193118400226e-53
"AENJPLPP_02122",2849.22727337003,-1.16535490561505,0.0653941089722244,-17.8204875627257,4.90075110176335e-71,2.29068815543096e-70
"AENJPLPP_02131",7880.15443491119,-2.22112580156333,0.0555338111665545,-39.9959187908394,0,0
"AENJPLPP_02133",1107.62951340174,-1.41666795258283,0.0941495703539923,-15.0469932816083,3.61285314053997e-51,1.37165949742534e-50
"AENJPLPP_02139",1628.86790670348,5.53334854119677,0.133984814938129,41.2983258121595,0,0
"AENJPLPP_02140",2822.64042719818,5.60269149501948,0.203365032405512,27.5499255144693,4.43447044450128e-167,3.94898407779441e-166
"AENJPLPP_02141",3589.2245218671,7.38174652770889,0.253975193960942,29.0648327208054,9.9949121182174e-186,1.00362703752583e-184
"AENJPLPP_02142",101.053248675622,5.60424681861182,0.4362748591365,12.8456790512845,9.09503390889451e-38,2.8295661049894e-37
"AENJPLPP_02143",27.6647693421175,5.42821238589489,0.781042447784144,6.94995822736011,3.65394390762334e-12,7.15553776664368e-12
"AENJPLPP_02144",33.1083137126612,4.32968025749713,0.527363280733386,8.21005256846096,2.21091677858981e-16,4.78675811096916e-16
"AENJPLPP_02146",955.319911219165,2.52673347167713,0.124362121127754,20.3175488546186,8.99571649409111e-92,5.05705143451608e-91
"AENJPLPP_02149",147.539457060831,1.9387720168749,0.169650672677681,11.4280243412791,3.02922553439354e-30,8.39952864839017e-30
"AENJPLPP_02155",1118.93390583846,4.32689297627629,0.10697291017938,40.4484926980172,0,0
"AENJPLPP_02156",113.048686939003,3.91160713432401,0.269425480556266,14.5183266491646,9.27467678549993e-48,3.36336971349636e-47
"AENJPLPP_02157",197.922061458077,3.29502711541297,0.1902465476823,17.3197735020951,3.33668463675862e-67,1.50176594470496e-66
"AENJPLPP_02158",93.7799996425055,4.00971594608369,0.294200318310571,13.6292032894773,2.68495449158693e-42,8.96627004529948e-42
"AENJPLPP_02159",226.797517454084,1.30669449441887,0.136333921700415,9.58451483036076,9.28932000244242e-22,2.23927978866824e-21
"AENJPLPP_02160",623.783384325078,3.79949846373675,0.119606770865199,31.7665834154064,1.87423360219806e-221,2.27407010400031e-220
"AENJPLPP_02161",198.627799456769,3.14735429193552,0.181143608063412,17.3749122344617,1.27801674998134e-67,5.81497621241509e-67
"AENJPLPP_02163",311.110906035119,2.97327876123255,0.140674410366153,21.1358892743434,3.72112677032679e-99,2.23882668495694e-98
"AENJPLPP_02164",96.0753334786958,3.23820398718288,0.262111660158034,12.3542920037608,4.61803854876072e-35,1.38208923473702e-34
"AENJPLPP_02165",13.2078292711536,2.89430385748353,0.640162388098576,4.52120260623285,6.14893003653832e-06,9.92554560221707e-06
"AENJPLPP_02166",24.1243843052749,2.74408499620824,0.442404838010086,6.20265593963888,5.55181277009441e-10,1.02257297827419e-09
"AENJPLPP_02167",104.392014580885,2.64512224546565,0.217756559699753,12.1471529909951,5.93981535004486e-34,1.7366207127842e-33
"AENJPLPP_02168",40.0744544487311,2.57114530296553,0.343453743457862,7.48614726710929,7.09248102644345e-14,1.44833834144483e-13
"AENJPLPP_02169",102.969776090851,2.88059120055529,0.232875970072644,12.369636934445,3.81542097738062e-35,1.14541297795179e-34
"AENJPLPP_02170",47.0809121863883,2.3223453455743,0.304235374691111,7.63338368502405,2.28671020238976e-14,4.72262419103473e-14
"AENJPLPP_02177",12.1836956484593,-3.15924781965474,0.694129405879594,-4.55138161975917,5.32947812154032e-06,8.63630511403751e-06
"AENJPLPP_02178",40.8416250516889,4.25521110185534,0.46483385242416,9.1542624954356,5.47303620296648e-20,1.28321106465687e-19
"AENJPLPP_02179",44.8774260599787,2.38471578494394,0.311957288509171,7.64436630520921,2.09976853776873e-14,4.33962099501955e-14
"AENJPLPP_02180",50.6839624949404,1.95032342409143,0.299434688397351,6.51335165785247,7.34921817729265e-11,1.38696845964201e-10
"AENJPLPP_02181",34.725406729984,2.31448665732178,0.35137596357039,6.58692368653762,4.49032926630182e-11,8.52957522731305e-11
"AENJPLPP_02182",297.140200121972,2.36190313276948,0.132010309078926,17.8918082174729,1.36602738232072e-71,6.44711788868384e-71
"AENJPLPP_02183",171.749426540199,3.48490640977057,0.198965927460226,17.5150914242199,1.09909241267441e-68,5.04819732761498e-68
"AENJPLPP_02184",100.666999441954,6.30704257344576,0.53740280988107,11.7361548125168,8.31831399784995e-32,2.35174081181933e-31
"AENJPLPP_02185",240.48495347682,3.48468866403726,0.170253682748018,20.4676257675714,4.1851921586263e-93,2.38498621642266e-92
