"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AENJPLPP_01919",2795.38331199912,-0.202379501882275,0.0674589801609018,-3.00003796973455,0.00269945953021222,0.00379200489723975
"AENJPLPP_01920",1808.09674178437,-0.0910302955251871,0.0707086828861396,-1.28739911153162,0.197955213855034,0.232950005219585
"AENJPLPP_01921",5609.79624363235,0.879534949313291,0.065172267825225,13.4955400304923,1.66133358762737e-41,5.46027472592654e-41
"AENJPLPP_01922",2875.92848931303,1.00602593747202,0.0660568109417225,15.2297079306413,2.24592574068322e-52,8.67392010194901e-52
"AENJPLPP_01923",1924.04253750119,0.551713054741967,0.0708854676910793,7.78316166504461,7.07341500015575e-15,1.47972589658431e-14
"AENJPLPP_01924",7730.55772618038,0.877600647071504,0.0641130967258298,13.6883209810381,1.19232633262507e-42,3.99545947135121e-42
"AENJPLPP_01925",1271.77920368801,1.09859053532663,0.0778991354329502,14.1027307841204,3.6535354071726e-45,1.28336491021551e-44
"AENJPLPP_01926",376.099798717561,-0.139471403169813,0.113339943480677,-1.23055825586848,0.218488126076621,0.254704238098701
"AENJPLPP_01927",101.335195728927,-0.913130764928998,0.184682542676648,-4.94432636509535,7.64076076350951e-07,1.27360591547451e-06
"AENJPLPP_01928",359.877691888007,-0.563997476443035,0.116346567539759,-4.84756437915799,1.24986478359749e-06,2.06913374066851e-06
"AENJPLPP_01929",313.744482280389,-0.0547040416404715,0.116319928642794,-0.470289504805851,0.638148194742378,0.67647890174365
"AENJPLPP_01930",5.66403947085285,-1.58179172865651,0.796626561680341,-1.98561258781028,0.0470763576565377,0.0596806066590499
"AENJPLPP_01931",43.9426618746736,-1.42787317932379,0.303075381523546,-4.71128064624032,2.46164962433311e-06,4.03394693644232e-06
"AENJPLPP_01932",13.6658439397525,-1.53182380930476,0.510973446121434,-2.99785403905455,0.00271887855536981,0.0038174418289474
"AENJPLPP_01933",38.5635551889937,-2.12601356560867,0.335244912263081,-6.34167287210104,2.27283527176564e-10,4.24262584062919e-10
"AENJPLPP_01934",1635.80026246462,-0.640426816784163,0.0716867232184926,-8.93368796941964,4.12038369048562e-19,9.50004537347119e-19
"AENJPLPP_01935",1853.71610248292,-0.265201462487356,0.0713453527411652,-3.71715118501809,0.000201481883946686,0.000303055395688404
"AENJPLPP_01936",7899.32810078563,0.169544779964911,0.0578144759511543,2.93256623320697,0.00336173208564092,0.0046638226933713
"AENJPLPP_01938",234.777385121028,-0.105517410328429,0.127758034775745,-0.825916041317046,0.408851720250763,0.454591908885156
"AENJPLPP_01939",70.5749673193928,-0.673096391604954,0.220040173433813,-3.05897046480659,0.00222099045139265,0.00313652967723346
"AENJPLPP_01940",39.0060470338354,-0.899937826681393,0.29889492838019,-3.0108835621884,0.00260488720767898,0.00366800365027136
"AENJPLPP_01941",119.240859388319,0.223142994026029,0.181200516625888,1.23146996587618,0.218147143029753,0.254607006213483
"AENJPLPP_01942",8153.53505908554,-2.63761022244179,0.0629886409402512,-41.874378984359,0,0
"AENJPLPP_01943",177.896024454764,1.34905655465577,0.150226138073596,8.98017197243573,2.70343874686376e-19,6.25290995303198e-19
